,单品编号,单品名称,分类编码,分类名称
0,102900005115779,云南生菜,1011010101,花叶类
1,102900005115908,菜心,1011010101,花叶类
2,102900011000328,螺丝椒,1011010504,辣椒类
3,102900005115786,竹叶菜,1011010101,花叶类
4,102900011036686,木耳菜(份),1011010101,花叶类
5,102900051000463,圆茄子(2),1011010501,茄类
6,102900011032848,姜蒜小米椒组合装(小份),1011010504,辣椒类
7,102900011030929,鲜木耳(份),1011010801,食用菌
8,106971533450003,海鲜菇(包),1011010801,食用菌
9,102900011018132,野生粉藕,1011010402,水生根茎类
10,102900011032343,七彩椒(2),1011010504,辣椒类
11,102900011013274,白玉菇(袋),1011010801,食用菌
12,102900011032732,高瓜(2),1011010402,水生根茎类
13,106949711300259,金针菇(盒),1011010801,食用菌
14,102900011008164,奶白菜,1011010101,花叶类
15,102900005116714,西兰花,1011010201,花菜类
16,102900011030059,云南生菜(份),1011010101,花叶类
17,102900011034026,枝江青梗散花,1011010201,花菜类
18,102900011022764,长线茄,1011010501,茄类
19,102900005115946,木耳菜,1011010101,花叶类
20,102900005115823,上海青,1011010101,花叶类
21,102900011032237,青线椒(份),1011010504,辣椒类
22,102900011032251,螺丝椒(份),1011010504,辣椒类
23,102900011031100,小米椒(份),1011010504,辣椒类
24,102900011035078,红椒(2),1011010504,辣椒类
25,102900011034439,青红杭椒组合装(份),1011010504,辣椒类
26,102900005115984,云南油麦菜,1011010101,花叶类
27,102900011030097,云南油麦菜(份),1011010101,花叶类
28,102900011032022,小皱皮(份),1011010504,辣椒类
29,102900011034330,双孢菇(盒),1011010801,食用菌
30,102900011001691,菱角,1011010402,水生根茎类
31,102900011035740,蟹味菇与白玉菇双拼(盒),1011010801,食用菌
32,102900005116509,青茄子(1),1011010501,茄类
33,102900011030110,菠菜(份),1011010101,花叶类
34,102900005116257,紫茄子(2),1011010501,茄类
35,102900005118817,菠菜,1011010101,花叶类
36,102900005116899,净藕(1),1011010402,水生根茎类
37,102900011006948,外地茼蒿,1011010101,花叶类
38,102900011007969,红莲藕带,1011010402,水生根茎类
39,102900005119975,红薯尖,1011010101,花叶类
40,102900011023464,小青菜(1),1011010101,花叶类
41,102900005118824,高瓜(1),1011010402,水生根茎类
42,102900005118831,娃娃菜,1011010101,花叶类
43,102900051000944,洪湖藕带,1011010402,水生根茎类
44,102900005115762,苋菜,1011010101,花叶类
45,102900005115250,西峡花菇(1),1011010801,食用菌
46,102900011031926,虫草花(份),1011010801,食用菌
47,102900011016701,芜湖青椒(1),1011010504,辣椒类
48,102900011033982,紫茄子(1),1011010501,茄类
