日期,单品编码,批发价格(元/千克)
2020/7/1,1.029E+14,3.88
2020/7/1,1.029E+14,6.72
2020/7/1,1.029E+14,3.19
2020/7/1,1.029E+14,9.24
2020/7/1,1.029E+14,7.03
2020/7/1,1.029E+14,4.6
2020/7/1,1.029E+14,4.2
2020/7/1,1.029E+14,2.1
2020/7/1,1.029E+14,3.44
2020/7/1,1.029E+14,4.64
2020/7/1,1.029E+14,5.76
2020/7/1,1.029E+14,6.56
2020/7/1,1.029E+14,1.63
2020/7/1,1.029E+14,10.8
2020/7/1,1.029E+14,4.06
2020/7/1,1.029E+14,9.23
2020/7/1,1.029E+14,3.97
2020/7/1,1.029E+14,8.16
2020/7/1,1.029E+14,7.83
2020/7/1,1.029E+14,4.32
2020/7/1,1.029E+14,7.58
2020/7/1,1.029E+14,8.47
2020/7/1,1.029E+14,5.65
2020/7/1,1.029E+14,4.13
2020/7/1,1.029E+14,10.29
2020/7/1,1.029E+14,3.6
2020/7/1,1.029E+14,7.5
2020/7/1,1.029E+14,12.1
2020/7/1,1.029E+14,6.16
2020/7/1,1.029E+14,8.24
2020/7/1,1.029E+14,11.69
2020/7/1,1.029E+14,4.44
2020/7/1,1.029E+14,6.03
2020/7/1,1.029E+14,29.43
2020/7/1,1.029E+14,6.81
2020/7/1,1.029E+14,4.63
2020/7/2,1.029E+14,3.93
2020/7/2,1.029E+14,4.23
2020/7/2,1.029E+14,3.18
2020/7/2,1.029E+14,9.19
2020/7/2,1.029E+14,7.03
2020/7/2,1.029E+14,4.52
2020/7/2,1.029E+14,4.23
2020/7/2,1.029E+14,2.1
2020/7/2,1.029E+14,3.58
2020/7/2,1.029E+14,4.57
2020/7/2,1.029E+14,5.71
2020/7/2,1.029E+14,3.72
2020/7/2,1.029E+14,1.46
2020/7/2,1.029E+14,10.8
2020/7/2,1.029E+14,4.05
2020/7/2,1.029E+14,8.9
2020/7/2,1.029E+14,3.97
2020/7/2,1.029E+14,8.05
2020/7/2,1.029E+14,7.27
2020/7/2,1.029E+14,4.48
2020/7/2,1.029E+14,7.33
2020/7/2,1.029E+14,7.88
2020/7/2,1.029E+14,5.76
2020/7/2,1.029E+14,4.11
2020/7/2,1.029E+14,10.13
2020/7/2,1.029E+14,3.6
2020/7/2,1.029E+14,6.46
2020/7/2,1.029E+14,12.13
2020/7/2,1.029E+14,6.15
2020/7/2,1.029E+14,7.1
2020/7/2,1.029E+14,8.24
2020/7/2,1.029E+14,6.83
2020/7/2,1.029E+14,11.75
2020/7/2,1.029E+14,4.44
2020/7/2,1.029E+14,5.52
2020/7/2,1.029E+14,29.54
2020/7/2,1.029E+14,6.85
2020/7/2,1.029E+14,4.76
2020/7/3,1.029E+14,3.57
2020/7/3,1.029E+14,4.61
2020/7/3,1.029E+14,3.79
2020/7/3,1.029E+14,9.2
2020/7/3,1.029E+14,6.76
2020/7/3,1.029E+14,3.89
2020/7/3,1.029E+14,4.3
2020/7/3,1.029E+14,2.11
2020/7/3,1.029E+14,3.75
2020/7/3,1.029E+14,4.42
2020/7/3,1.029E+14,5.7
2020/7/3,1.029E+14,6.56
2020/7/3,1.029E+14,1.48
2020/7/3,1.029E+14,10.8
2020/7/3,1.029E+14,4.05
2020/7/3,1.029E+14,8.97
2020/7/3,1.029E+14,3.98
2020/7/3,1.029E+14,7.9
2020/7/3,1.029E+14,6.75
2020/7/3,1.029E+14,5.31
2020/7/3,1.029E+14,6.21
2020/7/3,1.029E+14,5.61
2020/7/3,1.029E+14,4.05
2020/7/3,1.029E+14,10.05
2020/7/3,1.029E+14,3.6
2020/7/3,1.029E+14,6.23
2020/7/3,1.029E+14,12.2
2020/7/3,1.029E+14,6.32
2020/7/3,1.029E+14,6.58
2020/7/3,1.029E+14,7
2020/7/3,1.029E+14,6.88
2020/7/3,1.029E+14,11.75
2020/7/3,1.029E+14,4.47
2020/7/3,1.029E+14,4.81
2020/7/3,1.029E+14,8.07
2020/7/3,1.029E+14,4.74
2020/7/4,1.029E+14,5.77
2020/7/4,1.029E+14,3.46
2020/7/4,1.029E+14,9.16
2020/7/4,1.029E+14,6.56
2020/7/4,1.029E+14,3.53
2020/7/4,1.029E+14,4.28
2020/7/4,1.029E+14,2.21
2020/7/4,1.029E+14,3.75
2020/7/4,1.029E+14,4.41
2020/7/4,1.029E+14,5.42
2020/7/4,1.029E+14,3.94
2020/7/4,1.029E+14,1.98
2020/7/4,1.029E+14,12
2020/7/4,1.029E+14,4.05
2020/7/4,1.029E+14,9.27
2020/7/4,1.029E+14,4.01
2020/7/4,1.029E+14,7.79
2020/7/4,1.029E+14,5.9
2020/7/4,1.029E+14,5.16
2020/7/4,1.029E+14,7.43
2020/7/4,1.029E+14,5.41
2020/7/4,1.029E+14,4.09
2020/7/4,1.029E+14,10.08
2020/7/4,1.029E+14,7.23
2020/7/4,1.029E+14,12.08
2020/7/4,1.029E+14,6
2020/7/4,1.029E+14,6
2020/7/4,1.029E+14,7.37
2020/7/4,1.029E+14,7.21
2020/7/4,1.029E+14,4.44
2020/7/4,1.029E+14,4.71
2020/7/4,1.029E+14,25.48
2020/7/4,1.029E+14,6.09
2020/7/4,1.029E+14,4.63
2020/7/5,1.029E+14,3.48
2020/7/5,1.029E+14,5.77
2020/7/5,1.029E+14,3.45
2020/7/5,1.029E+14,10
2020/7/5,1.029E+14,6.56
2020/7/5,1.029E+14,4.04
2020/7/5,1.029E+14,4.31
2020/7/5,1.029E+14,2.2
2020/7/5,1.029E+14,3.75
2020/7/5,1.029E+14,4.35
2020/7/5,1.029E+14,5.44
2020/7/5,1.029E+14,4.24
2020/7/5,1.029E+14,2.04
2020/7/5,1.029E+14,12
2020/7/5,1.029E+14,4.05
2020/7/5,1.029E+14,9.47
2020/7/5,1.029E+14,7.9
2020/7/5,1.029E+14,5.83
2020/7/5,1.029E+14,5.16
2020/7/5,1.029E+14,8.35
2020/7/5,1.029E+14,5.42
2020/7/5,1.029E+14,4.1
2020/7/5,1.029E+14,3.6
2020/7/5,1.029E+14,7.23
2020/7/5,1.029E+14,11.67
2020/7/5,1.029E+14,6.16
2020/7/5,1.029E+14,7.95
2020/7/5,1.029E+14,7.3
2020/7/5,1.029E+14,1.63
2020/7/5,1.029E+14,7.03
2020/7/5,1.029E+14,4.44
2020/7/5,1.029E+14,8.1
2020/7/5,1.029E+14,4.93
2020/7/5,1.029E+14,6.3
2020/7/5,1.029E+14,4.75
2020/7/6,1.029E+14,3.35
2020/7/6,1.029E+14,6.48
2020/7/6,1.029E+14,3.18
2020/7/6,1.029E+14,9.23
2020/7/6,1.029E+14,6.25
2020/7/6,1.029E+14,4.55
2020/7/6,1.029E+14,4.21
2020/7/6,1.029E+14,2.2
2020/7/6,1.029E+14,3.65
2020/7/6,1.029E+14,4.41
2020/7/6,1.029E+14,5.41
2020/7/6,1.029E+14,4.49
2020/7/6,1.029E+14,2.05
2020/7/6,1.029E+14,12
2020/7/6,1.029E+14,4.06
2020/7/6,1.029E+14,9.48
2020/7/6,1.029E+14,7.89
